replicate,cycle,fluorescence
3,28,22591400.985616915
3,29,36777600.7873024
3,30,55632734.246394865
3,31,75649691.10304645
3,32,90591606.42086075
3,33,97506035.06413896
3,34,99479475.86958537
3,35,99900112.59005886
4,0,57.38014994909842
4,1,51.13745073318571
4,2,52.38912138544262
4,3,63.67294393024731
4,4,58.631579531872184
4,5,89.09900935575124
4,6,120.3603135618857
4,7,162.08374622486167
4,8,240.98452761688534
4,9,401.89120304853384
4,10,682.4706892304313
4,11,1181.8652502567932
4,12,2076.345625343914
4,13,3675.953416101856
4,14,6560.989775866589
4,15,11803.09415165953
4,16,21311.93686703159
4,17,38449.469145967836
4,18,69523.62751102078
4,19,125637.63150178085
4,20,227172.85888322993
4,21,410458.6943750982
4,22,741267.8984665473
4,23,1338241.569637602
4,24,2408728.1286496813
4,25,4314403.487097644
4,26,7660349.335573671
4,27,13396963.744545022
4,28,22806700.50380791
4,29,37086741.79471292
4,30,56014203.726295374
4,31,75995680.52434199
4,32,90786723.5228824
4,33,97570015.20046139
4,34,99493015.91915691
4,35,99900959.27860834
5,0,57.183948910238236
5,1,54.34781890594731
5,2,54.56231876733444
5,3,64.58602345139721
5,4,72.65772694494552
5,5,80.27381245335636
5,6,90.81011269234413
5,7,136.0226443145279
5,8,215.72364408434933
5,9,337.1076055850851
5,10,542.2901994830162
5,11,963.9263639355996
5,12,1673.3630707617613
5,13,2968.9786833126323
5,14,5345.2704858419675
5,15,9552.491617310476
5,16,17185.83938187427
5,17,30992.13663552761
5,18,55942.68763817649
5,19,100975.55393609373
5,20,182643.92774791628
5,21,330437.4170948272
5,22,596965.0129199151
5,23,1077756.767298245
5,24,1942590.368240219
5,25,3485867.2280171835
5,26,6213359.638011373
5,27,10937230.531451223
5,28,18838994.038941205
5,29,31236790.13465791
5,30,48663852.17508121
5,31,68917719.227003
5,32,86289933.87454273
5,33,95884011.16294281
5,34,99084616.12134309
5,35,99821172.42087957
6,0,57.65966220019498
6,1,64.64727766091801
6,2,52.18039763484504
6,3,64.15586384482287
6,4,53.21915525056591
6,5,61.53943727230382
6,6,67.19181337176033
6,7,86.39765957318316
6,8,110.42677914601825
6,9,152.21211637320482
6,10,233.04092359284766
6,11,351.5658818541998
6,12,580.0381080324864
6,13,993.0472911681233
6,14,1735.3690047819612
6,15,3061.5132448062113
6,16,5455.221972939308
6,17,9800.223087492981
6,18,17653.85311037832
6,19,31884.3963491821
6,20,57474.63887887969
6,21,103536.09038508874
6,22,187155.5824254634
6,23,338175.4353437291
6,24,611065.4176567806
6,25,1102977.7500984895
6,26,1986031.444165472
6,27,3564729.1296479334
